sku,category,subcategory,launch_date,unit_cost,list_price,lead_time_days
SKU0001,Furniture,Chair,2021-03-22,2734.88,4483.83,26
SKU0002,Home Decor,Table,2022-11-28,2129.15,2804.68,24
SKU0003,Kitchen,Lamp,2022-08-13,871.02,1322.24,19
SKU0004,Bedding,Shelf,2022-01-30,2910.61,4386.61,28
SKU0005,Bath,Organizer,2022-01-25,2358.38,3959.22,8
SKU0006,Outdoor,Cushion,2023-02-12,2178.98,3227.94,28
SKU0007,Lighting,Bedsheet,2021-03-19,1403.15,2024.11,27
SKU0008,Storage,Towel,2022-09-20,889.5,1396.32,18
SKU0009,Lifestyle,Planter,2021-07-01,379.53,524.98,24
SKU0010,Office,Desk Lamp,2021-03-26,2717.55,3586.85,18
SKU0011,Furniture,Chair,2022-04-19,1421.75,2116.9,11
SKU0012,Home Decor,Table,2023-05-29,686.85,1001.73,25
SKU0013,Kitchen,Lamp,2022-10-25,987.27,1348.89,11
SKU0014,Bedding,Shelf,2022-11-17,1779.74,2551.71,13
SKU0015,Bath,Organizer,2022-10-08,612.64,878.03,18
SKU0016,Outdoor,Cushion,2022-12-09,2584.18,3653.38,26
SKU0017,Lighting,Bedsheet,2022-04-07,2299.71,3310.97,14
SKU0018,Storage,Towel,2021-04-26,2186.44,3482.72,17
SKU0019,Lifestyle,Planter,2023-01-26,1353.07,1892.18,6
SKU0020,Office,Desk Lamp,2022-02-10,1919.2,3309.52,8
SKU0021,Furniture,Chair,2022-03-27,1793.88,3064.26,6
SKU0022,Home Decor,Table,2021-11-30,1984.56,2957.9,6
SKU0023,Kitchen,Lamp,2021-06-14,344.89,487.74,27
SKU0024,Bedding,Shelf,2023-04-15,1305.84,1981.9,26
SKU0025,Bath,Organizer,2022-12-05,220.68,369.48,26
SKU0026,Outdoor,Cushion,2022-08-03,1532.57,2415.78,6
SKU0027,Lighting,Bedsheet,2021-12-29,1056.6,1745.71,7
SKU0028,Storage,Towel,2023-01-11,519.12,787.17,12
SKU0029,Lifestyle,Planter,2022-05-06,399.87,626.38,19
SKU0030,Office,Desk Lamp,2022-02-04,1804.17,2515.15,13
SKU0031,Furniture,Chair,2022-02-10,594.72,961.93,17
SKU0032,Home Decor,Table,2021-07-24,2782.85,3760.19,9
SKU0033,Kitchen,Lamp,2021-03-24,1785.08,2851.49,24
SKU0034,Bedding,Shelf,2022-05-15,1105.92,1858.34,13
SKU0035,Bath,Organizer,2023-03-11,1813.65,2386.86,6
SKU0036,Outdoor,Cushion,2021-02-27,166.13,258.7,24
SKU0037,Lighting,Bedsheet,2023-02-12,2879.82,3736.7,28
SKU0038,Storage,Towel,2023-01-15,1498.68,2417.16,5
SKU0039,Lifestyle,Planter,2021-09-07,2369.93,3062.53,16
SKU0040,Office,Desk Lamp,2022-07-23,339.92,583.97,26
SKU0041,Furniture,Chair,2021-05-29,1511.31,1992.97,23
SKU0042,Home Decor,Table,2022-11-14,1523.05,2634.02,27
SKU0043,Kitchen,Lamp,2022-09-23,2819.7,4653.75,15
SKU0044,Bedding,Shelf,2021-11-16,1758.01,2719.36,14
SKU0045,Bath,Organizer,2021-03-03,1473.12,2417.85,23
SKU0046,Outdoor,Cushion,2023-05-24,874.23,1440.34,8
SKU0047,Lighting,Bedsheet,2022-02-06,1061.55,1829.07,11
SKU0048,Storage,Towel,2023-03-15,1609.95,2216.4,20
SKU0049,Lifestyle,Planter,2022-09-03,1372.84,2121.09,22
SKU0050,Office,Desk Lamp,2022-12-02,162.68,211.08,8
SKU0051,Furniture,Chair,2022-11-15,2496.25,3889.36,18
SKU0052,Home Decor,Table,2021-06-25,2698.87,3604.73,14
SKU0053,Kitchen,Lamp,2021-11-24,506.72,776.54,18
SKU0054,Bedding,Shelf,2022-02-25,1706.7,2621.86,29
SKU0055,Bath,Organizer,2022-03-25,414.87,615.25,6
SKU0056,Outdoor,Cushion,2021-02-09,2049.5,3097.44,30
SKU0057,Lighting,Bedsheet,2022-05-07,915.58,1494.19,16
SKU0058,Storage,Towel,2021-05-19,2012.33,3319.58,25
SKU0059,Lifestyle,Planter,2022-11-01,2208.28,3303.76,16
SKU0060,Office,Desk Lamp,2022-09-07,2329.08,3609.6,13
SKU0061,Furniture,Chair,2023-04-11,412.45,707.61,25
SKU0062,Home Decor,Table,2022-11-02,2756.43,3610.56,22
SKU0063,Kitchen,Lamp,2021-11-26,767.62,1004.47,8
SKU0064,Bedding,Shelf,2023-05-21,208.5,269.77,23
SKU0065,Bath,Organizer,2022-01-05,1709.07,2698.5,24
SKU0066,Outdoor,Cushion,2021-10-21,1175.67,1715.66,15
SKU0067,Lighting,Bedsheet,2023-03-26,2506.39,4103.36,29
SKU0068,Storage,Towel,2021-11-30,2443.93,3875.13,21
SKU0069,Lifestyle,Planter,2021-03-10,1019.7,1444.73,13
SKU0070,Office,Desk Lamp,2022-02-27,2863.41,4865.46,5
SKU0071,Furniture,Chair,2022-12-18,943.66,1539.36,22
SKU0072,Home Decor,Table,2021-06-20,1593.67,2207.66,10
SKU0073,Kitchen,Lamp,2022-02-21,842.3,1206.25,24
SKU0074,Bedding,Shelf,2021-04-27,2814.53,3960.66,18
SKU0075,Bath,Organizer,2022-09-10,577.36,767.2,17
SKU0076,Outdoor,Cushion,2022-03-05,230.24,304.81,9
SKU0077,Lighting,Bedsheet,2021-10-25,1361.78,2339.62,23
SKU0078,Storage,Towel,2021-07-24,2977.89,4374.38,9
SKU0079,Lifestyle,Planter,2022-05-24,2685.86,3872.1,15
SKU0080,Office,Desk Lamp,2022-08-26,2270.96,3667.24,26
SKU0081,Furniture,Chair,2023-04-27,2683.3,4096.05,28
SKU0082,Home Decor,Table,2022-01-29,2691.0,4623.33,30
SKU0083,Kitchen,Lamp,2021-05-25,1604.69,2631.93,29
SKU0084,Bedding,Shelf,2023-01-20,1016.19,1513.8,19
SKU0085,Bath,Organizer,2022-07-21,2338.84,3363.67,10
SKU0086,Outdoor,Cushion,2022-09-23,2018.82,3519.44,26
SKU0087,Lighting,Bedsheet,2021-03-29,1183.61,1904.29,25
SKU0088,Storage,Towel,2021-10-09,373.95,645.29,30
SKU0089,Lifestyle,Planter,2022-11-23,2265.69,2966.33,21
SKU0090,Office,Desk Lamp,2023-01-20,861.14,1442.64,8
SKU0091,Furniture,Chair,2022-01-27,2816.76,4418.19,18
